iso_code,region_code
NLD,Europe & Central Asia
NCL,East Asia & Pacific
NZL,East Asia & Pacific
NIC,Latin America & Caribbean
NER,Sub-Saharan Africa
NGA,Sub-Saharan Africa
MNP,East Asia & Pacific
NOR,Europe & Central Asia
OMN,Middle East & North Africa
PAK,South Asia
PLW,East Asia & Pacific
PAN,Latin America & Caribbean
PNG,East Asia & Pacific
PRY,Latin America & Caribbean
PER,Latin America & Caribbean
PHL,East Asia & Pacific
POL,Europe & Central Asia
PRT,Europe & Central Asia
PRI,Latin America & Caribbean
QAT,Middle East & North Africa
ROM,Europe & Central Asia
RUS,Europe & Central Asia
RWA,Sub-Saharan Africa
WSM,East Asia & Pacific
SMR,Europe & Central Asia
STP,Sub-Saharan Africa
SAU,Middle East & North Africa
SEN,Sub-Saharan Africa
SRB,Europe & Central Asia
SYC,Sub-Saharan Africa
SLE,Sub-Saharan Africa
SGP,East Asia & Pacific
SXM,Latin America & Caribbean
SVK,Europe & Central Asia
SVN,Europe & Central Asia
SLB,East Asia & Pacific
SOM,Sub-Saharan Africa
ZAF,Sub-Saharan Africa
SSD,Sub-Saharan Africa
ESP,Europe & Central Asia
LKA,South Asia
KNA,Latin America & Caribbean
LCA,Latin America & Caribbean
MAF,Latin America & Caribbean
VCT,Latin America & Caribbean
SDN,Sub-Saharan Africa
SUR,Latin America & Caribbean
SWZ,Sub-Saharan Africa
SWE,Europe & Central Asia
CHE,Europe & Central Asia
SYR,Middle East & North Africa
TWN,East Asia & Pacific
TJK,Europe & Central Asia
TZA,Sub-Saharan Africa
THA,East Asia & Pacific
TMP,East Asia & Pacific
TGO,Sub-Saharan Africa
TON,East Asia & Pacific
TTO,Latin America & Caribbean
TUN,Middle East & North Africa
TUR,Europe & Central Asia
TKM,Europe & Central Asia
TCA,Latin America & Caribbean
TUV,East Asia & Pacific
UGA,Sub-Saharan Africa
UKR,Europe & Central Asia
ARE,Middle East & North Africa
GBR,Europe & Central Asia
USA,North America
URY,Latin America & Caribbean
UZB,Europe & Central Asia
VUT,East Asia & Pacific
VEN,Latin America & Caribbean
VNM,East Asia & Pacific
VIR,Latin America & Caribbean
WBG,Middle East & North Africa
YEM,Middle East & North Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
,
WLD,
,
LIC,
MIC,
LMC,
UMC,
LMY,
EAP,
ECA,
LAC,
MNA,
SAS,
SSA,
HIC,
EMU,
OEC,
NOC,
AFR,
ARB,
CEB,
EAS,
ECS,
EUU,
FCS,
HPC,
IBD,
IBT,
IDB,
IDX,
IDA,
LCN,
LDC,
MEA,
NAC,
OED,
SST,
CSS,
PSS,
OSS,
SSF,
