"","AGEGROUP","COUNTRY","value"
"119","AGE70-74","SLE",0.90183
"120","AGE45-49","MAR",0.9949
"121","AGE70-74","YEM",0.935738
"122","AGE80-84","BLZ",0.887286
"123","AGE20-24","COL",0.99471
"124","AGE80-84","LSO",0.876993
"125","AGE40-44","ESP",0.998877
"126","AGE70-74","CYP",0.963553
"127","AGE55-59","TUV",0.981875
"128","AGE5-9","LTU",0.999802
"129","AGE55-59","GNQ",0.980687
"130","AGE10-14","SLV",0.999511
"131","AGE10-14","MHL",0.999706
"132","AGE50-54","ROU",0.99467
"133","AGE55-59","SOM",0.983078
"134","AGE15-19","VEN",0.997518
"135","AGE40-44","NZL",0.998502
"136","AGE70-74","JOR",0.945
"137","AGE85-89","LSO",0.832182
"138","AGE50-54","HND",0.991631
"139","AGE75-79","PRY",0.935266
"140","AGE80-84","MWI",0.818135
"141","AGE45-49","ARG",0.997109
"142","AGE15-19","NAM",0.998585
"143","AGE10-14","NAM",0.998843
"144","AGE50-54","BGD",0.990716
"145","AGE85-89","QAT",0.854036
"146","AGE10-14","GTM",0.999511
"147","AGE60-64","IRN",0.984483
"148","AGE55-59","ETH",0.985245
"149","AGE15-19","TLS",0.998519
"150","AGE35-39","CAF",0.984314
"151","AGE5-9","COD",0.992341
"152","AGE55-59","BLR",0.971168
"153","AGE70-74","VUT",0.946909
"154","AGE65-69","BEN",0.9587
"155","AGE35-39","SYC",0.997151
"156","AGE70-74","LSO",0.937369
"157","AGE60-64","MDV",0.957
"158","AGELT1","VEN",0.984077
"159","AGE95-99","SWZ",0.5794
"160","AGE65-69","FJI",0.956744
"161","AGE60-64","LTU",0.971966
"162","AGE1-4","IRN",0.998
"163","AGE40-44","SSD",0.989
"164","AGE40-44","ETH",0.985933
"165","AGE35-39","GRC",0.998769
"166","AGE55-59","RUS",0.991
"167","AGE50-54","SLE",0.97332
"168","AGE75-79","BEL",0.955067
"169","AGE75-79","KNA",0.932383
"170","AGE65-69","IND",0.969448
"171","AGE90-94","BRN",0.776915
"172","AGE40-44","MLT",0.998596
"173","AGE90-94","NOR",0.737716
"174","AGE95-99","CPV",0.534371
"175","AGE1-4","MHL",0.996445
"176","AGE75-79","MWI",0.879317
"177","AGE35-39","QAT",0.999685
"178","AGE85-89","SRB",0.836186
"179","AGE65-69","MDV",0.973476
"180","AGE85-89","NIC",0.860826
"181","AGE10-14","MUS",0.999741
"182","AGE90-94","RWA",0.727354
"183","AGE55-59","SYC",0.993914
"184","AGE60-64","ZWE",0.978587
"185","AGE70-74","MEX",0.972969
"186","AGE80-84","PLW",0.842058
"187","AGE20-24","VEN",0.996453
"188","AGE10-14","POL",0.999885
"189","AGE5-9","MYS",0.999595
"190","AGE80-84","COG",0.844092
"191","AGE5-9","JOR",0.999606
"192","AGE85-89","MNG",0.73692
"193","AGE65-69","BEL",0.976607
"194","AGE30-34","LSO",0.981587
"195","AGE85-89","BGD",0.816239
"196","AGE15-19","AUT",0.999558
"197","AGE90-94","EST",0.809335
"198","AGE30-34","TUV",0.997984
"199","AGE5-9","PAK",0.998498
"200","AGE35-39","AUS",0.999254
"201","AGE65-69","TUV",0.968478
"202","AGE80-84","OMN",0.873281
"203","AGE45-49","LBR",0.989323
"204","AGE50-54","PLW",0.992472
"205","AGE45-49","ALB",0.996
"206","AGE65-69","SEN",0.969907
"207","AGE30-34","BWA",0.994546
"208","AGE55-59","JPN",0.997201
"209","AGE45-49","PLW",0.991475
"210","AGE20-24","GHA",0.996
"211","AGE60-64","DMA",0.988735
"212","AGE20-24","MNG",0.998801
"213","AGE1-4","RWA",0.995303
"214","AGE80-84","AZE",0.878109
"215","AGE1-4","KGZ",0.999325
"216","AGE55-59","PAK",0.986474
"217","AGE65-69","SOM",0.965266
"218","AGE60-64","MYS",0.983758
"219","AGE95-99","ZAF",0.645454
"220","AGELT1","PRT",0.996791
"221","AGE55-59","VEN",0.990279
"222","AGE20-24","HRV",0.999704
"223","AGE1-4","SUR",0.99956
"224","AGE35-39","SUR",0.998087
"225","AGE60-64","HND",0.988404
"226","AGE85-89","BOL",0.761004
"227","AGE55-59","BFA",0.985873
"228","AGE45-49","UZB",0.991549
"229","AGE80-84","ZMB",0.812458
"230","AGE1-4","LSO",0.992804
"231","AGE35-39","RWA",0.994515
"232","AGE5-9","TCD",0.995283
"233","AGE10-14","PHL",0.999459
"234","AGE15-19","BRN",0.999691
"235","AGE80-84","SVN",0.887379
"236","AGE60-64","JOR",0.978
"237","AGE75-79","BOL",0.922442
"238","AGE45-49","FSM",0.995297
"239","AGE1-4","UKR",0.999261
"240","AGE90-94","ARM",0.648787
"241","AGE95-99","ETH",0.534754
"242","AGE60-64","TUN",0.984979
"243","AGE70-74","HUN",0.97532
"244","AGE95-99","MDV",0.773573
"245","AGE10-14","QAT",0.999663
"246","AGE45-49","PRT",0.997503
"247","AGE80-84","LBR",0.82658
"248","AGE40-44","IRN",0.995429
"249","AGELT1","VUT",0.973628
"250","AGE60-64","LAO",0.972
"251","AGE50-54","NIC",0.993591
"252","AGELT1","KGZ",0.933
"253","AGE85-89","TUN",0.803345
"254","AGE70-74","CRI",0.973476
"255","AGE20-24","SYC",0.999517
"256","AGE10-14","CHE",0.999939
"257","AGE1-4","CHE",0.999798
"258","AGE85-89","MHL",0.768
"259","AGE1-4","HRV",0.999646
"260","AGE45-49","POL",0.997821
"261","AGE55-59","SLV",0.985652
"262","AGE75-79","CRI",0.956612
"263","AGE65-69","KNA",0.98
"264","AGE95-99","KGZ",0.626086
"265","AGE90-94","SEN",0.580237
"266","AGE70-74","SVK",0.95384
"267","AGE75-79","GHA",0.920616
"268","AGE50-54","TUN",0.993495
"269","AGE60-64","HUN",0.98777
"270","AGE60-64","LBR",0.966305
"271","AGE90-94","KAZ",0.65865
"272","AGE55-59","PRT",0.996901
"273","AGE95-99","LCA",0.759732
"274","AGE85-89","VNM",0.841705
"275","AGE95-99","GHA",0.366105
"276","AGE20-24","SVN",0.999699
"277","AGE1-4","OMN",0.999332
"278","AGE55-59","ZMB",0.980945
"279","AGE50-54","FIN",0.996607
"280","AGE65-69","ECU",0.971
"281","AGE70-74","PLW",0.962778
"282","AGE15-19","SEN",0.997
"283","AGE90-94","HRV",0.789156
"284","AGE90-94","BRA",0.867942
"285","AGE15-19","HUN",0.999542
"286","AGE65-69","PRT",0.976209
"287","AGE45-49","SSD",0.988
"288","AGE90-94","TCD",0.594711
"289","AGE90-94","MNG",0.61803
"290","AGE90-94","BFA",0.59215
"291","AGE55-59","SVN",0.995096
"292","AGE35-39","GHA",0.994
"293","AGE45-49","SVK",0.996836
"294","AGE1-4","BRA",0.999075
"295","AGE5-9","FIN",0.999921
"296","AGE85-89","SVN",0.827661
"297","AGE15-19","TCD",0.996329
"298","AGE75-79","KEN",0.924368
"299","AGE50-54","AUT",0.993245
"300","AGE45-49","KAZ",0.98862
"301","AGE45-49","JPN",0.998337
"302","AGE10-14","PNG",0.998483
"303","AGE80-84","KAZ",0.86499
"304","AGE1-4","IRQ",0.998271
"305","AGE5-9","JPN",0.999897
"306","AGE15-19","ARE",0.999714
"307","AGE40-44","GUY",0.990373
"308","AGE80-84","MUS",0.901771
"309","AGE65-69","HRV",0.987894
"310","AGE95-99","SUR",0.656415
"311","AGELT1","FIN",0.993881
"312","AGE1-4","MRT",0.987
"313","AGE35-39","KGZ",0.997988
"314","AGE15-19","MHL",0.999
"315","AGE45-49","BRA",0.997008
"316","AGE50-54","SUR",0.990524
"317","AGE55-59","OMN",0.991216
"318","AGE45-49","TCD",0.981966
"319","AGE20-24","OMN",0.999233
"320","AGE1-4","ZWE",0.990874
"321","AGE30-34","VNM",0.997
"322","AGE40-44","SEN",0.994366
"323","AGE45-49","MKD",0.998039
"324","AGE50-54","VNM",0.991166
"325","AGE70-74","TCD",0.937104
"326","AGE15-19","KGZ",0.999227
"327","AGE95-99","AUT",0.654963
"328","AGE10-14","SEN",0.998701
"329","AGE85-89","KEN",0.796952
"330","AGE70-74","VNM",0.978444
"331","AGE60-64","TCD",0.968989
"332","AGE50-54","ZWE",0.987391
"333","AGE35-39","AFG",0.996092
"334","AGE65-69","AUT",0.982264
"335","AGE55-59","IRQ",0.992317
"336","AGE55-59","GUY",0.983368
"337","AGE5-9","CYP",0.999773
"338","AGE55-59","VCT",0.990272
"339","AGE35-39","ESP",0.999133
"340","AGELT1","VNM",0.978492
"341","AGE90-94","KWT",0.764838
"342","AGE85-89","ARE",0.842712
"343","AGE70-74","ISL",0.977981
"344","AGE30-34","MMR",0.996991
"345","AGE20-24","BGR",0.9995
"346","AGE85-89","MCO",0.864952
"347","AGE1-4","ECU",0.999163
"348","AGE45-49","MRT",0.994223
"349","AGE5-9","COG",0.996046
"350","AGE60-64","SLE",0.95976
"351","AGE35-39","NGA",0.991027
"352","AGE90-94","CAF",0.623198
"353","AGE55-59","MHL",0.992354
"354","AGE20-24","NOR",0.999229
"355","AGE45-49","SWE",0.998159
"356","AGE90-94","SWZ",0.696622
"357","AGE15-19","COL",0.997244
"358","AGE80-84","MYS",0.87623
"359","AGE50-54","ARM",0.988205
"360","AGE5-9","LBR",0.99786
"361","AGE45-49","BTN",0.992951
"362","AGELT1","KEN",0.934093
"363","AGE65-69","CZE",0.988112
"364","AGE95-99","CUB",0.738233
"365","AGE55-59","MAR",0.991282
"366","AGE70-74","NLD",0.984945
"367","AGE80-84","DEU",0.874481
"368","AGE65-69","IRN",0.979972
"369","AGE45-49","ROU",0.992991
"370","AGE35-39","NRU",0.999341
"371","AGE50-54","TUV",0.987369
"372","AGE15-19","LKA",0.999088
"373","AGE20-24","AFG",0.99395
"374","AGE70-74","SLV",0.974078
"375","AGE60-64","VNM",0.981877
"376","AGE70-74","GRD",0.943249
"377","AGE85-89","SVK",0.842577
"378","AGE1-4","ATG",1
"379","AGE70-74","ATG",0.962783
"380","AGE5-9","FSM",0.999276
"381","AGE55-59","DOM",0.991928
"382","AGE55-59","MNE",0.992156
"383","AGE60-64","COG",0.981744
"384","AGE30-34","POL",0.998598
"385","AGE90-94","GNB",0.55767
"386","AGE15-19","IRQ",0.99955
"387","AGE75-79","CHL",0.963
"388","AGE45-49","LBY",0.997589
"389","AGE35-39","DZA",0.998004
"390","AGE10-14","LSO",0.996322
"391","AGE90-94","MLI",0.573145
"392","AGE65-69","GHA",0.96742
"393","AGE90-94","GMB",0.664484
"394","AGE60-64","KEN",0.978536
"395","AGE75-79","SGP",0.950733
"396","AGE35-39","ZMB",0.990547
"397","AGE1-4","TLS",0.997719
"398","AGE30-34","NIC",0.998696
"399","AGE45-49","LAO",0.99516
"400","AGE85-89","SVN",0.865891
"401","AGELT1","TGO",0.927717
"402","AGE65-69","LVA",0.984902
"403","AGE85-89","NIU",0.766408
"404","AGE70-74","LKA",0.971745
"405","AGE65-69","AZE",0.965995
"406","AGE90-94","ITA",0.801177
"407","AGE35-39","MMR",0.996022
"408","AGE35-39","NPL",0.997326
"409","AGE75-79","BWA",0.937518
"410","AGE70-74","LUX",0.974099
"411","AGE30-34","MDA",0.998854
"412","AGE55-59","ATG",0.991047
"413","AGELT1","BRB",0.98233
"414","AGE45-49","DMA",0.990334
"415","AGELT1","ETH",0.852395
"416","AGE65-69","COK",0.962
"417","AGE40-44","NIC",0.997403
"418","AGELT1","BEN",0.899341
"419","AGE5-9","THA",0.999195
"420","AGE85-89","UKR",0.829703
"421","AGE15-19","DEU",0.999673
"422","AGE90-94","NRU",0.880599
"423","AGE80-84","BRN",0.932918
"424","AGELT1","TJK",0.931687
"425","AGE60-64","EGY",0.97561
"426","AGE70-74","IRN",0.957901
"427","AGE85-89","GRC",0.860587
"428","AGE30-34","LCA",0.997149
"429","AGE85-89","CPV",0.85847
"430","AGE50-54","THA",0.990593
"431","AGE35-39","MDG",0.99364
"432","AGE80-84","COL",0.943692
"433","AGE50-54","AGO",0.985
"434","AGE15-19","SVK",0.999754
"435","AGE30-34","GTM",0.993477
"436","AGELT1","HTI",0.92849
"437","AGE90-94","KHM",0.864477
"438","AGE85-89","SWZ",0.788368
"439","AGE35-39","ARM",0.99889
"440","AGE30-34","SWE",0.999673
"441","AGE35-39","GMB",0.993286
"442","AGELT1","FSM",0.959916
"443","AGE35-39","MOZ",0.98057
"444","AGE80-84","LVA",0.885611
"445","AGE15-19","TUR",0.999387
"446","AGE30-34","CPV",0.998835
"447","AGE65-69","PRY",0.984628
"448","AGE95-99","DMA",0.660798
"449","AGE10-14","BEL",0.999907
"450","AGELT1","MLT",0.992691
"451","AGE45-49","HND",0.99264
"452","AGE40-44","BRB",0.998151
"453","AGE5-9","LSO",0.996014
"454","AGE60-64","SOM",0.977629
"455","AGE95-99","TON",0.601908
"456","AGE80-84","SRB",0.886394
"457","AGE40-44","BGD",0.997491
"458","AGE20-24","KIR",0.997374
"459","AGE70-74","WSM",0.941196
"460","AGELT1","RWA",0.875644
"461","AGE65-69","IRL",0.985221
"462","AGE10-14","LUX",0.999959
"463","AGE65-69","DOM",0.984828
"464","AGE75-79","GTM",0.949608
"465","AGE50-54","VCT",0.988881
"466","AGE5-9","RUS",0.999395
"467","AGE15-19","BFA",0.996804
"468","AGE85-89","POL",0.822
"469","AGE75-79","DNK",0.959139
"470","AGE90-94","GEO",0.77806
"471","AGE75-79","LSO",0.897075
"472","AGE60-64","ARM",0.98497
"473","AGE80-84","BEL",0.922542
"474","AGE35-39","LAO",0.997327
"475","AGE90-94","SWE",0.764403
"476","AGE1-4","VEN",0.999493
"477","AGE35-39","BHR",0.998863
"478","AGE55-59","IRN",0.984901
"479","AGE40-44","HUN",0.993
"480","AGE40-44","SYC",0.993671
"481","AGE1-4","TON",0.999
"482","AGE75-79","CPV",0.931888
"483","AGE1-4","CZE",0.99975
"484","AGE60-64","JOR",0.987
"485","AGE30-34","GRC",0.998874
"486","AGE90-94","HND",0.799569
"487","AGE20-24","VEN",0.995784
"488","AGE90-94","CPV",0.660168
"489","AGE30-34","KWT",0.999687
"490","AGE90-94","AND",0.774497
"491","AGE35-39","URY",0.998079
"492","AGE40-44","ARG",0.997789
"493","AGE35-39","SGP",0.999346
"494","AGE75-79","TUR",0.92624
"495","AGE45-49","BEN",0.991971
"496","AGE95-99","GNQ",0.498772
"497","AGE90-94","MYS",0.767034
"498","AGE85-89","NOR",0.820683
"499","AGE90-94","NZL",0.837627
"500","AGE55-59","IRL",0.991108
"501","AGE60-64","IND",0.981039
"502","AGE20-24","CPV",0.997933
"503","AGE75-79","IRL",0.972017
"504","AGE95-99","ITA",0.729455
"505","AGE5-9","SOM",0.994951
"506","AGE55-59","ESP",0.990006
"507","AGE10-14","DOM",0.999702
"508","AGELT1","MAR",0.951829
"509","AGE1-4","GAB",0.991164
"510","AGE75-79","GIN",0.905533
"511","AGE60-64","FJI",0.970707
"512","AGE45-49","SWE",0.996795
"513","AGE10-14","TLS",0.998386
"514","AGE85-89","BRN",0.90242
"515","AGE1-4","BEL",0.999771
"516","AGE80-84","NGA",0.821613
"517","AGE20-24","MDA",0.998769
"518","AGE95-99","SVK",0.675936
"519","AGE1-4","SWE",0.999676
"520","AGE20-24","MWI",0.995465
"521","AGE15-19","BOL",0.996578
"522","AGE55-59","GHA",0.983519
"523","AGE50-54","ZMB",0.962655
"524","AGE10-14","CHN",0.999
"525","AGE10-14","MHL",0.999
"526","AGE40-44","AUT",0.999264
"527","AGE80-84","ESP",0.943761
"528","AGE60-64","BRB",0.99268
"529","AGE80-84","GHA",0.865113
"530","AGE55-59","AZE",0.976655
"531","AGE75-79","NIC",0.962165
"532","AGE5-9","MRT",0.998026
"533","AGE30-34","ZWE",0.961194
"534","AGE85-89","HRV",0.842744
"535","AGE85-89","MRT",0.71
"536","AGE40-44","BRN",0.997799
"537","AGE45-49","GRC",0.9983
"538","AGE60-64","UKR",0.987824
"539","AGELT1","BRA",0.952122
"540","AGE75-79","MAR",0.913211
"541","AGE55-59","VUT",0.982062
"542","AGE30-34","KGZ",0.998247
"543","AGELT1","TUN",0.977238
"544","AGE50-54","OMN",0.993636
"545","AGE20-24","AZE",0.998378
"546","AGE40-44","MAR",0.996842
"547","AGE90-94","GHA",0.512944
"548","AGE10-14","MDV",0.99939
"549","AGE85-89","JPN",0.918867
"550","AGE20-24","NIC",0.998036
"551","AGELT1","COG",0.926181
"552","AGE5-9","EST",0.999684
"553","AGE65-69","AUS",0.987891
"554","AGE75-79","GUY",0.93343
"555","AGE35-39","YEM",0.99559
"556","AGE15-19","MHL",0.999528
"557","AGE95-99","MCO",0.61542
"558","AGE80-84","IND",0.863948
"559","AGE45-49","MMR",0.994444
"560","AGE1-4","ROU",0.998973
"561","AGE30-34","RWA",0.987799
"562","AGE20-24","NIC",0.998218
"563","AGE95-99","ARE",0.691604
"564","AGE20-24","MMR",0.995991
"565","AGE60-64","BWA",0.981431
"566","AGE35-39","UZB",0.99838
"567","AGE1-4","GHA",0.99
"568","AGE20-24","GHA",0.995551
"569","AGE70-74","KEN",0.953103
"570","AGE40-44","CPV",0.998733
"571","AGE5-9","PHL",0.999469
"572","AGE85-89","SYC",0.87329
"573","AGE80-84","URY",0.896
"574","AGE30-34","EST",0.996621
"575","AGE85-89","AUS",0.914604
"576","AGE20-24","TTO",0.998246
"577","AGE55-59","DMA",0.992149
"578","AGE40-44","GTM",0.993885
"579","AGE75-79","LBR",0.890102
"580","AGE1-4","COM",0.989421
"581","AGE85-89","PRT",0.869816
"582","AGE30-34","HUN",0.999587
"583","AGE50-54","JPN",0.997744
"584","AGE75-79","SEN",0.886037
"585","AGE60-64","RWA",0.984793
"586","AGE10-14","MEX",0.999639
"587","AGE30-34","BFA",0.991732
"588","AGE20-24","TGO",0.995611
"589","AGE95-99","MAR",0.575168
"590","AGE20-24","VUT",0.997145
"591","AGE90-94","KGZ",0.685229
"592","AGE55-59","NIC",0.989649
"593","AGE1-4","BEL",0.999622
"594","AGE30-34","MKD",0.99928
"595","AGE75-79","FIN",0.92207
"596","AGE55-59","FSM",0.984403
"597","AGE55-59","LKA",0.99271
"598","AGE35-39","MRT",0.996068
"599","AGE1-4","TKM",0.995
"600","AGELT1","EST",0.989908
"601","AGE1-4","FRA",0.999571
"602","AGE35-39","TUV",0.99729
"603","AGE85-89","ZMB",0.750852
"604","AGE30-34","PAK",0.998352
"605","AGE50-54","PRT",0.996932
"606","AGE80-84","BLZ",0.887
"607","AGE50-54","SLV",0.988782
"608","AGE80-84","IRN",0.876372
"609","AGELT1","HUN",0.989
"610","AGE80-84","ZWE",0.880209
"611","AGE70-74","BRB",0.969507
"612","AGE95-99","UZB",0.729177
"613","AGE65-69","EST",0.955052
"614","AGE15-19","COG",0.99717
"615","AGE60-64","LKA",0.988303
"616","AGE90-94","TUN",0.737427
"617","AGE70-74","GAB",0.958818
"618","AGE1-4","CUB",0.999366
"619","AGE35-39","GAB",0.993062
"620","AGE60-64","PHL",0.983748
"621","AGE60-64","HUN",0.985
"622","AGE1-4","AFG",0.992182
"623","AGE70-74","MAR",0.940369
"624","AGE85-89","MNG",0.738675
"625","AGE50-54","HRV",0.995585
"626","AGE20-24","MKD",0.999251
"627","AGE10-14","VNM",0.99901
"628","AGE70-74","SUR",0.972026
"629","AGE50-54","RWA",0.981991
"630","AGE65-69","MKD",0.970955
"631","AGE90-94","CRI",0.848799
"632","AGE60-64","SLV",0.980798
"633","AGE10-14","COM",0.998515
"634","AGE15-19","FIN",0.999513
"635","AGE50-54","UZB",0.987
"636","AGE35-39","PLW",0.99857
"637","AGE55-59","KGZ",0.975062
"638","AGE60-64","IRQ",0.987637
"639","AGE95-99","LKA",0.635401
"640","AGE10-14","PLW",0.999517
"641","AGE10-14","MUS",0.999787
"642","AGE75-79","BRA",0.933218
"643","AGE90-94","MDA",0.694025
"644","AGE30-34","CHE",0.999459
"645","AGE60-64","MNG",0.983321
"646","AGE80-84","UZB",0.890086
"647","AGE70-74","TLS",0.931324
"648","AGE50-54","GAB",0.986663
"649","AGE75-79","PHL",0.919548
"650","AGE20-24","PAK",0.99767
"651","AGE70-74","CYP",0.97524
"652","AGE55-59","MKD",0.986523
"653","AGE85-89","OMN",0.845774
"654","AGELT1","SUR",0.98708
"655","AGE1-4","SLE",0.966369
"656","AGE90-94","MDV",0.764266
"657","AGE60-64","HRV",0.993155
"658","AGE40-44","COG",0.988115
"659","AGE95-99","HRV",0.720294
"660","AGE35-39","JOR",0.998284
"661","AGE70-74","RWA",0.927462
"662","AGE5-9","BRA",0.999755
"663","AGE30-34","TUN",0.999026
"664","AGE15-19","OMN",0.998806
"665","AGELT1","KGZ",0.961074
"666","AGE50-54","GUY",0.987523
"667","AGE85-89","URY",0.851
"668","AGE5-9","SUR",0.999783
"669","AGE75-79","POL",0.941823
"670","AGE30-34","LBR",0.996016
"671","AGE1-4","CYP",0.999742
"672","AGE95-99","MNG",0.567718
"673","AGE70-74","MDA",0.956304
"674","AGE65-69","LTU",0.984
"675","AGE35-39","BWA",0.966298
"676","AGE5-9","AUS",0.999915
"677","AGE85-89","PHL",0.770154
"678","AGE1-4","AFG",0.982704
"679","AGE50-54","MNG",0.99106
"680","AGE10-14","PRT",0.999919
"681","AGE5-9","MDV",0.999762
"682","AGE1-4","HUN",0.999441
"683","AGE15-19","SUR",0.999255
"684","AGE80-84","TCD",0.79988
"685","AGE45-49","SVN",0.996816
"686","AGE65-69","COM",0.96609
"687","AGE60-64","SVK",0.992453
"688","AGE90-94","CHE",0.839075
"689","AGE30-34","VNM",0.999206
"690","AGE15-19","GUY",0.998825
"691","AGE30-34","MUS",0.997879
"692","AGE75-79","UGA",0.892533
"693","AGE30-34","GMB",0.993744
"694","AGE90-94","ITA",0.812489
"695","AGE40-44","NPL",0.996292
"696","AGE55-59","FIN",0.995903
"697","AGELT1","GAB",0.961613
"698","AGE45-49","EST",0.996396
"699","AGE50-54","PER",0.994578
"700","AGE30-34","MLI",0.994731
"701","AGE35-39","NIC",0.998352
"702","AGE80-84","JOR",0.863339
"703","AGE1-4","BEN",0.986104
"704","AGE15-19","BEL",0.999822
"705","AGE90-94","SAU",0.750152
"706","AGE85-89","ZAF",0.834664
"707","AGE45-49","BLZ",0.993
"708","AGE50-54","USA",0.99567
"709","AGE55-59","SEN",0.987642
"710","AGE5-9","KNA",0.999647
"711","AGE50-54","IDN",0.992715
"712","AGE20-24","AGO",0.989
"713","AGE35-39","CUB",0.998388
"714","AGE90-94","DZA",0.701065
"715","AGE70-74","AZE",0.933
"716","AGE40-44","ERI",0.992948
"717","AGE15-19","GBR",0.999254
"718","AGE10-14","LAO",0.999
"719","AGE70-74","TUR",0.958013
"720","AGE85-89","YEM",0.754
"721","AGE30-34","DNK",0.999574
"722","AGE40-44","CHN",0.998143
"723","AGE50-54","HTI",0.984739
"724","AGE95-99","NPL",0.574538
"725","AGE10-14","JPN",0.999913
"726","AGE20-24","TUN",0.999
"727","AGE95-99","NIC",0.758789
"728","AGE20-24","ZAF",0.995288
"729","AGE1-4","IDN",0.994125
"730","AGE95-99","BHR",0.693591
"731","AGE50-54","MRT",0.988
"732","AGE30-34","AZE",0.999
"733","AGE15-19","UGA",0.996997
"734","AGE80-84","CPV",0.914689
"735","AGE95-99","BIH",0.699933
"736","AGE85-89","KHM",0.863018
"737","AGE75-79","SUR",0.969491
"738","AGE15-19","PAK",0.998883
"739","AGE75-79","GTM",0.941855
"740","AGE35-39","MKD",0.99864
