region,ISO_code,country,year,vaccine,grade,agegroup,sex,target,reached,Other_intervention,InfoSource
AFR,MUS,Mauritius,2008,DT- POLIO,Class 1,5-6 years,both,20597,17478,Vision & Growth Monitoring,
AFR,MUS,Mauritius,2008,MMR,Class 1,5-6 years,,20597,17089,Vision & Growth Monitoring,
AFR,MUS,Mauritius,2009,TETANUS,class  6,11 - 12 years,both,17961,15840,,
AFR,MUS,Mauritius,2009,DT/POLIO,class  1,5 - 6 years,both,18113,15539,vision & growth monitoring,
AFR,MUS,Mauritius,2009,MMR,class  1,5 - 6 years,both,18113,15382,vision & growth monitoring,
AFR,MUS,Mauritius,2010,MMR,Class 1,5 - 6 years,both,17900,15800,Vision and growth Monitoring,
AFR,MUS,Mauritius,2010,DT/POLIO,Class 1,5 - 6 years,both,17900,15994,Vision and growth Monitoring,
AFR,MUS,Mauritius,2010,TETANUS,Class 6,11 - 12 years,both,20200,17108,Vision and growth Monitoring,
AFR,MUS,Mauritius,2011,TETANUS,CLASS 6,10 - 11 YEARS,both,20447,16315,vision and growth monitoring,
AFR,MUS,Mauritius,2011,DT/POLIO,CLASS 1,5 - 6 YEARS,both,16762,14564,vision and growth monitoring,
AFR,MUS,Mauritius,2011,MMR,CLASS 1,5 - 6 YEARS,both,16762,14446,vision and growth monitoring,
AFR,MUS,Mauritius,2012,DT / POLIO,Class 1,5 - 6 yrs,both,15865,13886,vision survey and growth monitoring,
AFR,MUS,Mauritius,2012,TETANUS,Class 6,10 - 11 yrs,both,19762,15628,vision survey and growth monitoring,
AFR,MUS,Mauritius,2012,MMR,Class 1,5 - 6 yrs,both,15865,13619,vision survey and growth monitoring,
AFR,MUS,Mauritius,2013,MMR,Class 1,5-6 yrs,both,14400,11751,Vision survey and growth monitoring,
AFR,MUS,Mauritius,2013,DT/POLIO,Class 1,5-6 yrs,both,14400,12593,Vision survey and growth monitoring,
AFR,MUS,Mauritius,2013,TETANUS,Class 6,10-11 yrs,both,18000,14430,Vision survey and growth monitoring,
AFR,MUS,Mauritius,2014,MMR,Class 1,5-6 yrs,both,15447,13125,Vision survey and growth monitoring,
AFR,MUS,Mauritius,2014,DT/POLIO,Class 1,5-6 yrs,both,15447,13400,Vision survey and growth monitoring,
AFR,MUS,Mauritius,2014,TETANUS,Class 6,10-11yrs,both,17633,16039,Vision survey and growth monitoring,
AFR,MOZ,Mozambique,2008,TT,PS 1st Classe,,both,1066181,265326,,
AFR,MOZ,Mozambique,2008,TT,PS 2st Classe,,both,889684,143439,,
AFR,MOZ,Mozambique,2008,TT,HS WCBA,>15 years,female,,,,
AFR,MOZ,Mozambique,2008,Mebendazol,All classe in PS and HS,6 - 14 Years,both,,,,
AFR,MOZ,Mozambique,2009,Tetanus Toxoide,2nd,,,1022363,264170,,
AFR,MOZ,Mozambique,2009,Tetanus Toxoide,1st,,both,1162247,375644,,
AFR,MOZ,Mozambique,2010,TT 1,Grade 1 and 2,7 to 13 y,both,1161683,767923,Antihelminthics,
AFR,MOZ,Mozambique,2010,TT 2,Grade 1 and 2,7 to 13 y,both,1002737,612251,Antihelminthics,
AFR,MOZ,Mozambique,2011,TT,1st grade,fisrt grade students,both,955163,877453,dewarming,
AFR,MOZ,Mozambique,2012,TT1,1st grade,fisrt grade students,both,1218289,870048,dewarming,
AFR,MOZ,Mozambique,2012,TT2,2nd grade,2nd grade students,both,1035140,625353,,
AFR,MOZ,Mozambique,2013,TT1,1st grade,fisrt grade students,both,,,,
AFR,MOZ,Mozambique,2013,TT2,2nd grade,2nd grade students,both,,,,
AFR,MOZ,Mozambique,2014,TT,1st grade,6 years,both,,1,de-worming,
AFR,MOZ,Mozambique,2014,HPV,5th grade,10 years,female,,3,,
AFR,NAM,Namibia,2008,DT,Grade 1,6yrs,both,,,,
AFR,NAM,Namibia,2008,OPV,Grade 1,6yrs,both,,,,
AFR,NAM,Namibia,2008,DT,Grade 5,10yrs,both,,,,
AFR,NAM,Namibia,2008,OPV,Grade 5,10yrs,both,,,,
AFR,NAM,Namibia,2009,DT,Grade 5,10yrs,,,,,
AFR,NAM,Namibia,2009,OPV,Grade 5,10yrs,,,,,
AFR,NAM,Namibia,2009,DT,Grade 1,6yrs,,,,,
AFR,NAM,Namibia,2009,OPV,Grade 1,6yrs,,,,,
AFR,NAM,Namibia,2010,Polio,1 and 6,6 and 10 years,both,,10858,see 3060,
AFR,NAM,Namibia,2010,DT,1 and 6,6 and 10 years,both,,10858,see 3060,
AFR,NAM,Namibia,2011,DT,Grade 5,10yrs,both,,,,
AFR,NAM,Namibia,2011,DT,Grade 1,6yrs,both,,,,
AFR,NAM,Namibia,2011,OPV,Grade 5,10yrs,both,,,,
AFR,NAM,Namibia,2011,OPV,Grade 1,6yrs,both,,,,
AFR,NAM,Namibia,2012,OPV,Grade 5,10yrs,both,,,,
AFR,NAM,Namibia,2012,DT,Grade 1,6yrs,both,,,,
AFR,NAM,Namibia,2012,OPV,Grade 1,6yrs,both,,,,
AFR,NAM,Namibia,2012,DT,Grade 5,10yrs,both,,,,
AFR,NAM,Namibia,2013,OPV,Grade 5,10yrs,,,,,
AFR,NAM,Namibia,2013,DT,Grade 5,10yrs,,,,,
AFR,NAM,Namibia,2013,OPV,Grade 1,6yrs,,,,,
AFR,NAM,Namibia,2013,DT,Grade 1,6yrs,,,,,
AFR,NAM,Namibia,2014,DT,1 & 6,6 - 13 years,both,45837,36312,ORS,
AFR,RWA,Rwanda,2011,HPV,P6,,female,91853,88927,,
AFR,RWA,Rwanda,2013,HPV vaccine,Primary 6 and Secondary 3,,female,138446,134775,Deworming,
AFR,RWA,Rwanda,2014,HPV vaccine,Girls aged 12 years,,female,144150,142405,Deworming,
AFR,STP,Sao Tome and Principe,2010,T_tanos,,,,,,,
AFR,STP,Sao Tome and Principe,2011,T_tanos,,,,,,,
AFR,STP,Sao Tome and Principe,2012,TETANOS,,< 12 Ans,,,,,
AFR,STP,Sao Tome and Principe,2014,Tetanus,,<12 Ans,,,,,
AFR,SYC,Seychelles,2008,POLIO,Primary one,6 years,both,1436,1422,,
AFR,SYC,Seychelles,2008,DT,Primary one,6years,both,1436,1422,,
AFR,SYC,Seychelles,2008,TT,secondary one,15 years,both,1599,1571,,
AFR,SYC,Seychelles,2008,POLIO,secondary one,15 years,both,1599,1571,,
AFR,SYC,Seychelles,2008,BCG,Primary one,6years,both,1436,1414,,
AFR,SYC,Seychelles,2008,MMR,Primary one,6 years,both,1436,1411,,
AFR,SYC,Seychelles,2009,DT,Primary one,6 years,both,1401,1401,,
AFR,SYC,Seychelles,2009,BCG,Primary one,6 years,both,1401,1400,,
AFR,SYC,Seychelles,2009,TT,Secondary three,15 tears,both,1538,1522,,
AFR,SYC,Seychelles,2009,MMR,Primary one,6 years,both,1401,1390,,
AFR,SYC,Seychelles,2009,Polio,Primary one,6 years,both,1401,1401,,
AFR,SYC,Seychelles,2009,Polio,Secondary three,,both,1538,1522,,
AFR,SYC,Seychelles,2010,TT,Secondary 3,15yrs,both,1598,1514,,
AFR,SYC,Seychelles,2010,OPV,Secondary 3,15yrs,both,,,,
AFR,SYC,Seychelles,2010,OPV,Primary 1,6yrs,both,1439,1423,,
AFR,SYC,Seychelles,2010,BCG,Primary 1,6yrs,both,1453,1429,,
AFR,SYC,Seychelles,2010,DT,Primary 1,6yrs,both,1439,1423,,
AFR,SYC,Seychelles,2010,MMR,Primary 1,6yrs,both,1349,1321,,
AFR,SYC,Seychelles,2011,ATT/OPV,secondary three,15yrs,both,1536,1486,,
AFR,SYC,Seychelles,2011,MMR,primary one,6yrs,both,1463,1432,,
AFR,SYC,Seychelles,2011,DT/OPV,primary one,6YRS,both,1463,1377,,
AFR,SYC,Seychelles,2011,BCG,primary one,6yrs,both,1463,1458,,
AFR,SYC,Seychelles,2012,TT/OPV,secondary three,15yrs,both,1398,1376,,
AFR,SYC,Seychelles,2012,DT/OPV,primary one,6yrs,both,1394,1393,,
AFR,SYC,Seychelles,2012,BCG,primary one,6yrs,both,1394,1364,,
AFR,SYC,Seychelles,2012,MMR,primary one,6yrs,both,1394,1383,,
AFR,SYC,Seychelles,2013,BCG,Primary one,5-6yrs,both,1470,1426,,
AFR,SYC,Seychelles,2013,ATT/OPV,Secondary three,14-15yrs,both,1344,1332,,
AFR,SYC,Seychelles,2013,DT/OPV,Primary one,5-6yrs,both,1470,1412,,
AFR,SYC,Seychelles,2013,MMR,Primary one,5-6yrs,both,1470,1457,,
AFR,SYC,Seychelles,2014,TT/OPV,Secondary three,14-15 years,both,1410,1363,"health promotion talks in relation to cancer, smoking, safe safe,nutition",
AFR,SYC,Seychelles,2014,HPV,Primary six,10-12 years,female,684,1062,"health promotion talks in relation to cancer, smoking, safe safe,nutition",
AFR,SYC,Seychelles,2014,MMR,Primary one,5-6years,both,1486,1484,"health promotion talks , screening",
AFR,SYC,Seychelles,2014,DT/OPV,Primary 0ne,5-6years,both,1486,1464,"health promotion talks , screening",
AFR,SYC,Seychelles,2014,BCG,Primary one,5-6 years,both,1486,1449,"health promotion talks , screening",
AFR,SLE,Sierra Leone,2008,TT,,15 years and above,female,250000,,,
AFR,SLE,Sierra Leone,2009,TT,,15 years and above,female,,,,
AFR,SLE,Sierra Leone,2010,TT,,15 years and above,female,,,,
AFR,SLE,Sierra Leone,2011,TT1,,15 Years +,female,97067,101697,Albendazole & Ivermectin,
AFR,SLE,Sierra Leone,2011,TT2,,15 Years +,female,97067,87895,Albendazole & Ivermectin,
AFR,SLE,Sierra Leone,2012,TT1,,15 Years+,female,,,,
AFR,SLE,Sierra Leone,2012,TT2,,16 Years+,female,,,,
AFR,SLE,Sierra Leone,2013,TETANUS TOXOID,,12-20 YRS,female,,,,
AFR,SLE,Sierra Leone,2014,TT 5,,12-20 years,female,,1075,None,
AFR,SLE,Sierra Leone,2014,TT 1,,12-20 years,female,,13109,None,
AFR,SLE,Sierra Leone,2014,TT 2,,12-20 years,female,,8385,None,
AFR,SLE,Sierra Leone,2014,TT 4,,12-20 years,female,,2040,None,
AFR,SLE,Sierra Leone,2014,TT 3,,12-20 years,female,,3995,None,
AFR,ZAF,South Africa,2012,Td 6 yrs,,,both,494458,,"Vision, hearing","Only a proportion of scools are currently targeted for Td, children are almostly immunised at clinics all data are captured in DHIS"
AFR,ZAF,South Africa,2012,Td 12 yrs,,,both,216963,,health educ SRH,
AFR,ZAF,South Africa,2013,Td12,,,both,,52688,health educ SRH,
AFR,ZAF,South Africa,2013,Td6,,,both,,81623,"Vision, hearing",
AFR,ZAF,South Africa,2014,HPV 2nd dose,,>=9 yrs,female,351711,329626,,
AFR,ZAF,South Africa,2014,HPV 1st dose,,>=9 yrs,female,457276,419520,,
AFR,ZAF,South Africa,2014,Td,,6 years,both,,116877,,
AFR,ZAF,South Africa,2014,Td,,12 years,both,,67796,,
AFR,UGA,Uganda,2009,HPV,P5,10 years,female,3459,3308,Antihelmintics,
AFR,UGA,Uganda,2009,TT,"P5 - P7, S1-S6",13 -19 years,female,2916566,,,
AFR,UGA,Uganda,2010,HPV,P4,10 years,female,8000,8000,De worming,
AFR,UGA,Uganda,2010,Tetanus Toxoid,"P5-P7, S1-S6",13 - 19years,female,3051196,,,
AFR,UGA,Uganda,2011,HPV,Primary 4,,female,5723,3292,Deworming,
AFR,UGA,Uganda,2011,TT,Primary 5 -7,13 and above,female,,,,
AFR,UGA,Uganda,2012,HPV,Primary 4,10 year,female,64119,50879,,"Schools are good venue for vaccination and teachers wer good mobilizers. However there were challenges in enrollment figures being higher than head count, relatively high drop out rates within the term, early closure of term 3 mostly private schools before official closure by the ministry."
AFR,UGA,Uganda,2012,TT,Primary 5 - 7,13 and above,female,,451901,Deworming,
AFR,UGA,Uganda,2013,Tetanus Toxoid,Primary 5 - 7,15 - 45,female,,320767,De-wormers,
AFR,UGA,Uganda,2013,Human Pappiloma Vaccine,Primary 4,10 year,female,64119,,,
AFR,UGA,Uganda,2014,Tetanus Toxoid,,15Y+,female,8336386,707732,"De-wormers, health education, clinical care, eye care, dental",
AFR,UGA,Uganda,2014,HPV,Primary 4,10 Y,female,64119,85033,"De-wormers, health education, clinical care, eye care, dental",
AFR,ZMB,Zambia,2008,TT,,15-49,female,,,,
AMR,ATG,Antigua and Barbuda,2011,MMR,,15 yr. old,,17,,,
AMR,ATG,Antigua and Barbuda,2012,MMR,,15Y,both,606,365,,
AMR,ATG,Antigua and Barbuda,2012,Adult DT,,15y,both,,,,
AMR,ATG,Antigua and Barbuda,2012,3_School_and_Add_Imm_delivery_,,,,,,,
AMR,ARG,Argentina,2008,OPV,PRIMERO,5-6 A‹OS,ambos,19188,,"NUTRICION, AGUDEZA VISUAL, CONTROL DE PESO Y TALLA, TALLERES DE MANIPULACION DE ALIMENTOS, PREVENCION DE PEDICULOSIS,",
AMR,ARG,Argentina,2008,DPT,PRIMERO,5-6 A‹OS,ambos,19800,,"NUTRICION, AGUDEZA VISUAL, CONTROL DE PESO Y TALLA, TALLERES DE MANIPULACION DE ALIMENTOS, PREVENCION DE PEDICULOSIS,",
AMR,ARG,Argentina,2008,SPR,PRIMERO,5-6 A‹OS,ambos,19908,,"NUTRICION, AGUDEZA VISUAL, CONTROL DE PESO Y TALLA, TALLERES DE MANIPULACION DE ALIMENTOS, PREVENCION DE PEDICULOSIS,",
AMR,ARG,Argentina,2009,DPT,PRIMERO,5-6 A‹OS,ambos,,,,
AMR,ARG,Argentina,2009,OPV,PRIMERO,5-6 A‹OS,ambos,,,,
AMR,ARG,Argentina,2009,SPR,PRIMERO,5-6 A‹OS,ambos,,,,
AMR,ARG,Argentina,2009,Dtap,SEXTO,11 A‹OS,ambos,,,,
AMR,ARG,Argentina,2009,Hep B,SEXTO,11 A‹OS,ambos,,,,
AMR,ARG,Argentina,2010,Hep B,,,ambos,663734,317198,,From updated information received 25 June 2011. this is a catch up campaign
AMR,ARG,Argentina,2010,Tdap,,,ambos,663734,420391,,
AMR,ARG,Argentina,2010,SRP,,,ambos,705574,645678,,
AMR,ARG,Argentina,2010,OPV,,,ambos,705574,672913,,
AMR,ARG,Argentina,2010,DPT,,,ambos,705574,643988,,
AMR,ARG,Argentina,2011,DTP,prescolar-primer grado,5-6 a_os,ambos,703042,,,
AMR,ARG,Argentina,2011,OPV,prescolar-primer grado,5-6 a_os,ambos,703042,,,
AMR,ARG,Argentina,2011,SRP,prescolar-primer grado,5-6 a_os,ambos,703042,,,
AMR,ARG,Argentina,2011,SRP,sexto/s_ptimo,11 a_os,ambos,715963,,,
AMR,ARG,Argentina,2011,Hepatitis B,sexto/s_ptimo,11 a_os,ambos,715963,,,
AMR,ARG,Argentina,2011,Triple acelular,sexto/s_ptimo,11 a_os,ambos,715963,,,
AMR,ARG,Argentina,2011,VPH,sexto/s_ptimo,11 a_os,mujer,342973,,,
AMR,ARG,Argentina,2012,SRP,1 grado,5 o 6 A,ambos,689845,617085,,
AMR,ARG,Argentina,2012,Hep B,6-7 grado,11 a_os,ambos,687735,247646,,
AMR,ARG,Argentina,2012,DPT,1 grado,5 o 6 A,ambos,689845,658232,,
AMR,ARG,Argentina,2012,OPV,1 grado,5 o 6 A,ambos,689845,645285,,
AMR,ARG,Argentina,2012,Tdap,6-7 grado,11 a_os,ambos,687735,533401,,
AMR,ARG,Argentina,2012,VPH,6-7 grado,11 a_os,mujer,350249,230625,,
AMR,ARG,Argentina,2012,SRP,6-7 grado,11 a_os,ambos,687735,123784,,
AMR,ARG,Argentina,2014,VPH,6-7 grado,11 a_os,mujer,,,,
AMR,ARG,Argentina,2014,SRP,1 grado,5 o 6 A,ambos,,,,
AMR,ARG,Argentina,2014,DPT,1 grado,5 o 6 A,ambos,,,,
AMR,ARG,Argentina,2014,OPV,1 grado,5 o 6 A,ambos,,,,
AMR,ARG,Argentina,2014,Tdap,6-7 grado,11 a_os,ambos,,,,
AMR,ARG,Argentina,2014,Hep B,6-7 grado,11 a_os,ambos,,,,
AMR,ARG,Argentina,2014,SRP,6-7 grado,11 a_os,ambos,,,,
AMR,BHS,Bahamas (the),2008,DT,,5yrs,both,2000,1526,medical,
AMR,BHS,Bahamas (the),2008,Polio,,5yrs,both,2000,1200,medical,
AMR,BHS,Bahamas (the),2008,MMR,,11yrs,both,,,medical,
AMR,BHS,Bahamas (the),2008,Hepatitis B,,11yrs,both,3000,,medical,
AMR,BHS,Bahamas (the),2008,Hepatitis B,,5yrs,both,,,medical,
AMR,BHS,Bahamas (the),2008,DT,,11yrs,both,2500,2221,medical,
AMR,BHS,Bahamas (the),2008,Polio,,11yrs,both,,,medical,
AMR,BHS,Bahamas (the),2008,MMR,,5yrs,both,2000,1440,medical,
AMR,BHS,Bahamas (the),2009,MMR,,11YRS,both,,1359,MEDICAL,
AMR,BHS,Bahamas (the),2009,POLIO,,11YRS,both,,1615,MEDICAL,
AMR,BHS,Bahamas (the),2009,DT,,11YRS,both,2500,1543,MEDICAL,
AMR,BHS,Bahamas (the),2009,HEPATITIS B,,5YRS,both,,953,MEDICAL,
AMR,BHS,Bahamas (the),2009,MMR,,5YRS,both,2000,1359,MEDICAL,
AMR,BHS,Bahamas (the),2009,POLIO,,5YRS,both,2000,2009,MEDICAL,
AMR,BHS,Bahamas (the),2009,DT,,5YRS,both,2000,1998,MEDICAL,
AMR,BHS,Bahamas (the),2009,HEPATITIS B,,11YRS,both,3000,4123,MEDICAL,
AMR,BHS,Bahamas (the),2010,DT,,11YRS,both,2493,1663,MEDICAL,
AMR,BHS,Bahamas (the),2010,POLIO,,5YRS,both,2717,189,MEDICAL,
AMR,BHS,Bahamas (the),2010,MMR,,5YRS,both,2717,189,MEDICAL,
AMR,BHS,Bahamas (the),2010,DT,,5YRS,both,2717,189,MEDICAL,
AMR,BHS,Bahamas (the),2010,POLIO,,11YRS,both,2493,61,MEDICAL,
AMR,BHS,Bahamas (the),2010,MMR,,11YRS,both,2493,61,MEDICAL,
AMR,BHS,Bahamas (the),2011,DT,,11yrs,both,,,History and Physical Exam,
AMR,BHS,Bahamas (the),2011,POLIO,,11yrs,both,,,History and Physical Exam,
AMR,BHS,Bahamas (the),2011,POLIO,,5yrs,both,,,History and Physical Exam,
AMR,BHS,Bahamas (the),2011,MMR,,11yrs,both,,,History and Physical Exam,
AMR,BHS,Bahamas (the),2011,DT,,5yrs,both,,,History and Physical Exam,
AMR,BHS,Bahamas (the),2011,MMR,,5yrs,both,,,History and Physical Exam,
AMR,BHS,Bahamas (the),2012,DT/DPT,,,both,,,History and Physical Exam,
AMR,BHS,Bahamas (the),2012,POLIO,,,both,,,History and Physical Exam,
AMR,BHS,Bahamas (the),2012,DT/DPT,,,both,,,History and Physical Exam,
AMR,BHS,Bahamas (the),2012,MMR,,,both,,,History and Physical Exam,
AMR,BHS,Bahamas (the),2012,POLIO,,,both,,,History and Physical Exam,
AMR,BHS,Bahamas (the),2012,MMR/VARICELLA,,,both,,,History and Physical Exam,
AMR,BRB,Barbados,2008,OPV,,Y11+,both,3800,,,
AMR,BRB,Barbados,2008,D&T,,Y11+,both,3800,,,
AMR,BRB,Barbados,2008,BCG,,Y5-7,both,3700,,,
AMR,BRB,Barbados,2009,BCG,,Y5,both,5000,4500,H Promotion,
AMR,BRB,Barbados,2010,BCG,,Y5-7,both,5000,4500,H Promotion,
